date,ebp
1/1/1973,-0.041732867
2/1/1973,-0.054852273
3/1/1973,-0.147946608
4/1/1973,-0.209192169
5/1/1973,-0.090259614
6/1/1973,0.028644426
7/1/1973,-0.337868436
8/1/1973,-0.222833233
9/1/1973,-0.36368149
10/1/1973,0.109658499
11/1/1973,0.047863428
12/1/1973,-0.014675817
1/1/1974,-0.050706867
2/1/1974,0.148813812
3/1/1974,-0.099620478
4/1/1974,0.082896964
5/1/1974,0.093639792
6/1/1974,0.753702654
7/1/1974,1.278311326
8/1/1974,0.935140518
9/1/1974,1.009335209
10/1/1974,1.128902662
11/1/1974,1.084515437
12/1/1974,1.226244306
1/1/1975,0.392378953
2/1/1975,0.40743058
3/1/1975,0.605753007
4/1/1975,0.247150948
5/1/1975,0.365174564
6/1/1975,0.257339991
7/1/1975,0.381941416
8/1/1975,0.127906074
9/1/1975,0.30304038
10/1/1975,0.119057461
11/1/1975,0.184661217
12/1/1975,-0.028497369
1/1/1976,-0.160387635
2/1/1976,-0.078780676
3/1/1976,-0.122056856
4/1/1976,-0.06421092
5/1/1976,-0.121051001
6/1/1976,-0.053657719
7/1/1976,-0.093053414
8/1/1976,-0.173527439
9/1/1976,-0.21247689
10/1/1976,-0.149420156
11/1/1976,-0.377719557
12/1/1976,-0.045719609
1/1/1977,-0.321690677
2/1/1977,-0.207540667
3/1/1977,-0.177963426
4/1/1977,-0.245442599
5/1/1977,-0.25379569
6/1/1977,-0.263024169
7/1/1977,-0.183659128
8/1/1977,-0.191816941
9/1/1977,-0.143120889
10/1/1977,-0.156774771
11/1/1977,-0.140155794
12/1/1977,-0.339557309
1/1/1978,-0.340509561
2/1/1978,-0.347155543
3/1/1978,-0.343473797
4/1/1978,-0.29063547
5/1/1978,-0.250906905
6/1/1978,-0.45951734
7/1/1978,-0.376163171
8/1/1978,-0.403512541
9/1/1978,-0.328919018
10/1/1978,-0.502258242
11/1/1978,-0.249553748
12/1/1978,-0.384009494
1/1/1979,-0.262224484
2/1/1979,-0.32292085
3/1/1979,-0.186978345
4/1/1979,-0.221982178
5/1/1979,-0.252265083
6/1/1979,-0.161002342
7/1/1979,-0.252246927
8/1/1979,-0.336351839
9/1/1979,-0.099970536
10/1/1979,-0.614094858
11/1/1979,-0.008155715
12/1/1979,0.196378164
1/1/1980,-0.030073215
2/1/1980,-0.291969687
3/1/1980,0.331003842
4/1/1980,-0.297069646
5/1/1980,0.128170112
6/1/1980,-0.025453177
7/1/1980,0.194176584
8/1/1980,0.064780931
9/1/1980,0.042765209
10/1/1980,-0.109917753
11/1/1980,0.345411887
12/1/1980,0.145533638
1/1/1981,0.416596485
2/1/1981,0.179241066
3/1/1981,0.051604719
4/1/1981,0.549438571
5/1/1981,0.390824929
6/1/1981,0.472908754
7/1/1981,0.460151763
8/1/1981,0.303404828
9/1/1981,0.439119165
10/1/1981,0.556968331
11/1/1981,0.264490297
12/1/1981,0.572545112
1/1/1982,0.751249954
2/1/1982,0.540211793
3/1/1982,0.958078907
4/1/1982,0.856046612
5/1/1982,0.775054041
6/1/1982,0.762410538
7/1/1982,0.704234398
8/1/1982,0.056430814
9/1/1982,0.517683919
10/1/1982,0.275256179
11/1/1982,0.519736243
12/1/1982,0.653240189
1/1/1983,0.269973159
2/1/1983,0.22479049
3/1/1983,0.144421039
4/1/1983,0.060150504
5/1/1983,-0.129983896
6/1/1983,0.029906247
7/1/1983,-0.113576769
8/1/1983,-0.178634546
9/1/1983,-0.08158725
10/1/1983,-0.107024043
11/1/1983,0.013067118
12/1/1983,0.06613408
1/1/1984,-0.014424859
2/1/1984,-0.087944097
3/1/1984,-0.011560698
4/1/1984,0.054486067
5/1/1984,-0.360223441
6/1/1984,-0.078159558
7/1/1984,-0.165413129
8/1/1984,0.132794934
9/1/1984,-0.068939277
10/1/1984,-0.254314124
11/1/1984,-0.138722395
12/1/1984,-0.025994747
1/1/1985,-0.161001212
2/1/1985,-0.189379535
3/1/1985,0.041581725
4/1/1985,-0.082241441
5/1/1985,-0.288860056
6/1/1985,0.010384961
7/1/1985,-0.033963315
8/1/1985,-0.006286992
9/1/1985,0.071715175
10/1/1985,0.132610464
11/1/1985,0.162646687
12/1/1985,-0.048535314
1/1/1986,0.174819511
2/1/1986,-0.185043768
3/1/1986,0.56592843
4/1/1986,0.512062237
5/1/1986,0.018688068
6/1/1986,0.105210015
7/1/1986,0.684905633
8/1/1986,0.657899966
9/1/1986,0.30601871
10/1/1986,0.476535626
11/1/1986,0.583099694
12/1/1986,0.600059551
1/1/1987,0.461015334
2/1/1987,0.531504858
3/1/1987,0.422229201
4/1/1987,-0.24002045
5/1/1987,0.17584191
6/1/1987,0.158211241
7/1/1987,0.22591644
8/1/1987,0.221437113
9/1/1987,0.217592212
10/1/1987,-0.614970187
11/1/1987,0.2175856
12/1/1987,-0.019821859
1/1/1988,-0.151261059
2/1/1988,0.165958983
3/1/1988,-0.09137435
4/1/1988,-0.023040697
5/1/1988,0.051485149
6/1/1988,0.147778373
7/1/1988,-0.127546604
8/1/1988,0.033207657
9/1/1988,0.214066275
10/1/1988,0.318458064
11/1/1988,0.225393902
12/1/1988,0.359088842
1/1/1989,0.3607018
2/1/1989,0.249897678
3/1/1989,0.475257612
4/1/1989,0.559812716
5/1/1989,0.391266975
6/1/1989,0.644512216
7/1/1989,0.863803736
8/1/1989,0.59037724
9/1/1989,0.627647042
10/1/1989,0.51430477
11/1/1989,0.628473675
12/1/1989,0.524323793
1/1/1990,0.26734372
2/1/1990,0.395762658
3/1/1990,0.419022236
4/1/1990,0.188630982
5/1/1990,0.098758786
6/1/1990,0.14619275
7/1/1990,0.077727186
8/1/1990,-0.217008308
9/1/1990,-0.008848403
10/1/1990,0.17017636
11/1/1990,0.274135268
12/1/1990,0.351633608
1/1/1991,0.372005891
2/1/1991,0.300553007
3/1/1991,0.235917735
4/1/1991,0.201729424
5/1/1991,0.185350037
6/1/1991,0.097371131
7/1/1991,0.193152543
8/1/1991,0.137507351
9/1/1991,0.172074507
10/1/1991,0.157055146
11/1/1991,0.165855848
12/1/1991,0.182673136
1/1/1992,0.05860774
2/1/1992,0.101873142
3/1/1992,0.046082678
4/1/1992,0.03891084
5/1/1992,0.005516787
6/1/1992,2.33E-04
7/1/1992,-0.061476226
8/1/1992,0.080999075
9/1/1992,0.179438702
10/1/1992,0.111211946
11/1/1992,0.070828011
12/1/1992,0.105724195
1/1/1993,0.069059459
2/1/1993,0.063067055
3/1/1993,0.030582906
4/1/1993,0.063481592
5/1/1993,0.032324616
6/1/1993,-0.033920158
7/1/1993,-0.040056746
8/1/1993,-0.03754695
9/1/1993,0.048746962
10/1/1993,-0.024690182
11/1/1993,-0.11930268
12/1/1993,-0.158046442
1/1/1994,-0.232378352
2/1/1994,-0.420982824
3/1/1994,-0.30468203
4/1/1994,-0.264326018
5/1/1994,-0.267898447
6/1/1994,-0.313103441
7/1/1994,-0.290712639
8/1/1994,-0.263158094
9/1/1994,-0.380863737
10/1/1994,-0.30368934
11/1/1994,-0.229197305
12/1/1994,-0.177685876
1/1/1995,-0.222624355
2/1/1995,-0.257042651
3/1/1995,-0.265066195
4/1/1995,-0.207555993
5/1/1995,-0.290992035
6/1/1995,-0.110839423
7/1/1995,-0.276227299
8/1/1995,-0.172371926
9/1/1995,-0.131746823
10/1/1995,-0.095290869
11/1/1995,-0.015363606
12/1/1995,-0.026537726
1/1/1996,-0.074421745
2/1/1996,-0.276402872
3/1/1996,-0.302000372
4/1/1996,-0.253930799
5/1/1996,-0.286669577
6/1/1996,-0.24107066
7/1/1996,-0.289937653
8/1/1996,-0.358100757
9/1/1996,-0.354839397
10/1/1996,-0.300337043
11/1/1996,-0.251334982
12/1/1996,-0.371587282
1/1/1997,-0.323293324
2/1/1997,-0.437364937
3/1/1997,-0.465812737
4/1/1997,-0.417759101
5/1/1997,-0.416776088
6/1/1997,-0.515095124
7/1/1997,-0.491577708
8/1/1997,-0.493553969
9/1/1997,-0.543378636
10/1/1997,-0.419035367
11/1/1997,-0.314077786
12/1/1997,-0.379151472
1/1/1998,-0.334793431
2/1/1998,-0.310811603
3/1/1998,-0.360541045
4/1/1998,-0.392311358
5/1/1998,-0.349968103
6/1/1998,-0.310821868
7/1/1998,-0.272899658
8/1/1998,0.128092827
9/1/1998,0.111735103
10/1/1998,0.23050107
11/1/1998,0.205325108
12/1/1998,0.073072608
1/1/1999,0.063577106
2/1/1999,-0.152398397
3/1/1999,-0.148359483
4/1/1999,-0.188204194
5/1/1999,-0.18264861
6/1/1999,-0.120848216
7/1/1999,-0.071108014
8/1/1999,-0.01198277
9/1/1999,0.118225314
10/1/1999,0.133903098
11/1/1999,0.098460544
12/1/1999,-0.126289754
1/1/2000,0.054805479
2/1/2000,0.145736905
3/1/2000,0.412286275
4/1/2000,0.569348557
5/1/2000,0.749901659
6/1/2000,0.787809291
7/1/2000,0.866699542
8/1/2000,1.016251978
9/1/2000,1.122552521
10/1/2000,1.514108625
11/1/2000,1.597051538
12/1/2000,1.595183358
1/1/2001,1.141885142
2/1/2001,1.167783736
3/1/2001,1.100529734
4/1/2001,0.920771348
5/1/2001,0.779261328
6/1/2001,1.015622594
7/1/2001,0.785014106
8/1/2001,0.762198238
9/1/2001,1.225671899
10/1/2001,1.044558953
11/1/2001,-0.048683534
12/1/2001,0.421361039
1/1/2002,0.577171521
2/1/2002,0.784640232
3/1/2002,0.299088226
4/1/2002,0.425477279
5/1/2002,0.519286755
6/1/2002,0.971704173
7/1/2002,1.591621383
8/1/2002,1.485713484
9/1/2002,1.665682869
10/1/2002,1.474169147
11/1/2002,1.056933148
12/1/2002,0.910733271
1/1/2003,0.855106126
2/1/2003,0.65141906
3/1/2003,0.148705959
4/1/2003,0.043937393
5/1/2003,-0.47489343
6/1/2003,-0.385545072
7/1/2003,-1.038011199
8/1/2003,-0.205969658
9/1/2003,-0.54282973
10/1/2003,-0.526395846
11/1/2003,-0.550329522
12/1/2003,-0.522937801
1/1/2004,-0.709583992
2/1/2004,-0.355992002
3/1/2004,-0.532761029
4/1/2004,-0.753201688
5/1/2004,-0.381607131
6/1/2004,-0.393379853
7/1/2004,-0.332189408
8/1/2004,-0.436327454
9/1/2004,-0.554640015
10/1/2004,-0.541911099
11/1/2004,-0.679344629
12/1/2004,-0.722866529
1/1/2005,-0.708627545
2/1/2005,-0.927345614
3/1/2005,-0.637626669
4/1/2005,-0.384453922
5/1/2005,-0.310415017
6/1/2005,-0.454192507
7/1/2005,-0.557232262
8/1/2005,-0.555377616
9/1/2005,-0.465825864
10/1/2005,-0.3499501
11/1/2005,-0.320167179
12/1/2005,-0.28978401
1/1/2006,-0.366390237
2/1/2006,-0.325439483
3/1/2006,-0.408767722
4/1/2006,-0.449248825
5/1/2006,-0.354571845
6/1/2006,-0.357823851
7/1/2006,-0.263205606
8/1/2006,-0.292265951
9/1/2006,-0.348223034
10/1/2006,-0.382045686
11/1/2006,-0.351859211
12/1/2006,-0.480038746
1/1/2007,-0.541716793
2/1/2007,-0.540901839
3/1/2007,-0.357351326
4/1/2007,-0.35957312
5/1/2007,-0.574261953
6/1/2007,-0.365888744
7/1/2007,0.037725309
8/1/2007,0.145257814
9/1/2007,0.079741327
10/1/2007,-0.00159201
11/1/2007,0.346354921
12/1/2007,0.497150251
1/1/2008,0.722391087
2/1/2008,0.925553562
3/1/2008,1.154805995
4/1/2008,0.675862348
5/1/2008,0.680107395
6/1/2008,0.823041122
7/1/2008,1.075682061
8/1/2008,1.221459559
9/1/2008,1.796899009
10/1/2008,3.47367747
11/1/2008,3.271939209
12/1/2008,3.426772296
1/1/2009,2.849956489
2/1/2009,3.193824688
3/1/2009,2.786999641
4/1/2009,2.261628192
5/1/2009,1.384771105
6/1/2009,0.938175294
7/1/2009,0.334477659
8/1/2009,0.071049128
9/1/2009,0.054885164
10/1/2009,-0.143445653
11/1/2009,-0.011489489
12/1/2009,-0.464698816
1/1/2010,-0.202198289
2/1/2010,-0.010118294
3/1/2010,-0.161616702
4/1/2010,-0.273651296
5/1/2010,-0.119069257
6/1/2010,0.051598042
7/1/2010,0.168960497
8/1/2010,-0.26401463
9/1/2010,5.61E-04
10/1/2010,-0.006672694
11/1/2010,-0.12657934
12/1/2010,-0.392942553
1/1/2011,-0.024391601
2/1/2011,-0.264857473
3/1/2011,-0.305326235
4/1/2011,-0.258485316
5/1/2011,-0.135964071
6/1/2011,-0.017732348
7/1/2011,-0.058215056
8/1/2011,-0.07781969
9/1/2011,0.45372815
10/1/2011,-0.065709641
11/1/2011,0.509267899
12/1/2011,0.29587305
1/1/2012,0.19497729
2/1/2012,0.066153292
3/1/2012,-0.319998307
4/1/2012,-0.147171883
5/1/2012,-0.054088707
6/1/2012,0.177803289
7/1/2012,0.009510844
8/1/2012,-0.186887156
9/1/2012,-0.137659522
10/1/2012,-0.170343237
11/1/2012,-0.042999377
12/1/2012,-0.155825007
1/1/2013,-0.089839994
2/1/2013,-0.028543508
3/1/2013,-0.090328412
4/1/2013,-0.117354248
5/1/2013,-0.478413283
6/1/2013,-0.335901593
7/1/2013,-0.013770848
