Friday_of_Week,NFCI,ANFCI,Risk,Credit,Leverage,Nonfinancial_Leverage
01/08/1971,0.581880164853556,0.51037108541357,0.6105725250177,-1.13319743186291,-1.02066108944912,-1.41219782392098
01/15/1971,0.614033438760541,0.580882061457595,0.640100532134884,-1.13520719611328,-1.03831214265483,-1.42888982016799
01/22/1971,0.651359757998587,0.668143966276608,0.675159116896052,-1.13843663014947,-1.05462084686257,-1.44388494079616
01/29/1971,0.692315905564243,0.76170623035796,0.714287577578056,-1.14333426077449,-1.0689549291196,-1.4568251265016
02/05/1971,0.735534945171812,0.851800553406287,0.756318852831944,-1.15037842697964,-1.0808323196265,-1.46740534909932
02/12/1971,0.778620383127557,0.927703427598706,0.799046336900959,-1.1600959715499,-1.08967876959453,-1.47539283505305
02/19/1971,0.820479207030564,0.982148438481415,0.841661579553386,-1.17303331086926,-1.09507832639136,-1.4806304281613
02/26/1971,0.861550751214445,1.01343705436995,0.884684696537948,-1.18973378647872,-1.09642677936904,-1.48303598627144
03/05/1971,0.903455817110227,1.02607673931362,0.930029359416285,-1.21070615752485,-1.0935012479948,-1.48260725575138
03/12/1971,0.948318292859276,1.02792860672882,0.979833293982243,-1.23640732537121,-1.08583610029824,-1.47941459685993
03/19/1971,0.998412644686577,1.03187606486245,1.03650358016969,-1.26717743788676,-1.07331967599233,-1.4735977395491
03/26/1971,1.05613897780278,1.05525387808506,1.10231916959359,-1.30313882690821,-1.05584804221683,-1.46536178071805
04/02/1971,1.12168946023713,1.11273129281918,1.17740350580788,-1.344153040237,-1.03359258765994,-1.45495902765374
04/09/1971,1.19406814448771,1.21496194201922,1.26034220643161,-1.38988149728887,-1.00667038914979,-1.4426570686226
04/16/1971,1.26903171802127,1.36130800972843,1.34670383868948,-1.43959500889255,-0.975602894021534,-1.42878393747566
04/23/1971,1.34011195234942,1.53887245606371,1.42962371692251,-1.4922979235314,-0.940837955788302,-1.41362808192388
04/30/1971,1.40007904973955,1.72422981633359,1.50145635355154,-1.54674327225794,-0.902917242462899,-1.39746491700643
05/07/1971,1.44078864563517,1.88633297299129,1.5538074442966,-1.60158441895494,-0.862474073539141,-1.38054550226801
05/14/1971,1.4533578414877,1.98985280484058,1.57757155263323,-1.65537641562999,-0.820097902986738,-1.36308699393503
05/21/1971,1.43303907243204,2.00897125057444,1.5678877715305,-1.70672443530452,-0.776423140908411,-1.3452725976205
05/28/1971,1.38055571588562,1.93146258880859,1.52521638388074,-1.75425225623361,-0.731939137398088,-1.32725739350268
06/04/1971,1.300323129348,1.75821807759234,1.45392646413208,-1.79678159719177,-0.68720770651075,-1.30917102556295
06/11/1971,1.19990490658317,1.50244584208065,1.36143204249128,-1.83326269600819,-0.642636215607739,-1.29112273930555
06/18/1971,1.09581368626873,1.19988131128908,1.26380263454234,-1.86267594457638,-0.598644965010349,-1.27320830404302
06/25/1971,1.00526729811427,0.89339554107758,1.17778739154645,-1.8841763354228,-0.555627755446608,-1.25551222650101
07/02/1971,0.944961841733895,0.631848484745087,1.11974928089941,-1.89719887478804,-0.514020046529818,-1.23811257513559
07/09/1971,0.930637127744564,0.46679925564458,1.10493784946265,-1.90130918331882,-0.474204061325727,-1.22107837366849
07/16/1971,0.97216970447439,0.439238767511181,1.14298650079194,-1.8963388488063,-0.436658494259501,-1.20448549662599
07/23/1971,1.07221372882788,0.570215825972974,1.2364442343649,-1.88245318972161,-0.401744967173155,-1.18837596035871
07/30/1971,1.22549146121771,0.854939005920693,1.38005522636673,-1.86003228199479,-0.369807964270803,-1.17278541154641
08/06/1971,1.41772956327102,1.25799176672944,1.55990964400399,-1.82978553455244,-0.341218177983218,-1.15773000882618
08/13/1971,1.62828630125428,1.72138692460165,1.75591391547018,-1.79274040960361,-0.316219711546,-1.14320735829522
08/20/1971,1.83446257153103,2.17879337809905,1.94612731738517,-1.75019499315244,-0.295095373302117,-1.12919998692518
08/27/1971,2.0101937636482,2.5598349400353,2.10563364193266,-1.70379901549764,-0.27810894210913,-1.11567888273585
09/03/1971,2.13989570308515,2.82013258360632,2.21950770356478,-1.65515209317253,-0.265407367945926,-1.10260547473003
09/10/1971,2.20931777218569,2.93009908393818,2.27435518941373,-1.60600356715217,-0.257180748076904,-1.0899361332394
09/17/1971,2.21769703106168,2.89252525684587,2.26989920163768,-1.55802012820318,-0.253567012892961,-1.0776251185225
09/24/1971,2.16874173288622,2.72553354080392,2.21021626309267,-1.51275557946571,-0.254688571640019,-1.06562674806878
10/01/1971,2.07339093042733,2.46685909810147,2.10638888337991,-1.4715871140223,-0.260614546955795,-1.05389918942134
10/08/1971,1.94594892419997,2.15971827457532,1.97283410127576,-1.43575059532025,-0.271393582832646,-1.04240742048106
10/15/1971,1.80455237905002,1.85320448211258,1.82761597888096,-1.40624123311085,-0.286970642545305,-1.03111849278822
